* Measurement data measured by REW V5.20.13
* Source: C:\Users\T-Gamer\Desktop\VDSF Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: 29/05/2023 16:16:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\T-Gamer\Desktop\VDSF Target.txt Format: Comma/Tab/Space delimited data 958 values loaded, 20 Hz to 20.040 Hz log spaced
* Measurement: VDSF Target
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1950.000000	89.608
1975.000000	89.731
2000.000000	89.862
2030.000000	90.032
2060.000000	90.211
2090.000000	90.392
2120.000000	90.572
2140.000000	90.692
2180.000000	90.935
2200.000000	91.059
2240.000000	91.304
2270.000000	91.475
2300.000000	91.622
2330.000000	91.741
2360.000000	91.841
2400.000000	91.960
2430.000000	92.045
2470.000000	92.156
2500.000000	92.240
2540.000000	92.351
2580.000000	92.462
2620.000000	92.559
2650.000000	92.616
2690.000000	92.667
2720.000000	92.694
2760.000000	92.725
2800.000000	92.757
2850.000000	92.797
2900.000000	92.839
2950.000000	92.882
3000.000000	92.919
3040.000000	92.932
3070.000000	92.929
3110.000000	92.914
3150.000000	92.893
3200.000000	92.864
3250.000000	92.822
3300.000000	92.755
3350.000000	92.671
3400.000000	92.581
3450.000000	92.490
3500.000000	92.398
3550.000000	92.302
3600.000000	92.205
3650.000000	92.108
3700.000000	92.010
3750.000000	91.908
3820.000000	91.758
3870.000000	91.649
3950.000000	91.476
4000.000000	91.369
4060.000000	91.239
4120.000000	91.109
4180.000000	90.979
4250.000000	90.828
4310.000000	90.700
4370.000000	90.572
4440.000000	90.422
4500.000000	90.294
4550.000000	90.186
4620.000000	90.035
4680.000000	89.906
4750.000000	89.756
4820.000000	89.606
4870.000000	89.502
4940.000000	89.360
5000.000000	89.245
5080.000000	89.097
5150.000000	88.971
5220.000000	88.849
5300.000000	88.710
5380.000000	88.571
5450.000000	88.451
5520.000000	88.332
5600.000000	88.199
5700.000000	88.035
5800.000000	87.876
5900.000000	87.721
6000.000000	87.568
6080.000000	87.447
6150.000000	87.339
6220.000000	87.230
6300.000000	87.102
6400.000000	86.938
6500.000000	86.774
6600.000000	86.619
6700.000000	86.471
6800.000000	86.330
6900.000000	86.189
7000.000000	86.041
7100.000000	85.878
7200.000000	85.707
7300.000000	85.533
7400.000000	85.366
7500.000000	85.212
7620.000000	85.040
7750.000000	84.874
7880.000000	84.737
8000.000000	84.663
8120.000000	84.656
8250.000000	84.703
8380.000000	84.776
8500.000000	84.853
8620.000000	84.939
8750.000000	85.039
8850.000000	85.119
9000.000000	85.239
9120.000000	85.327
9250.000000	85.407
9380.000000	85.465
9500.000000	85.499
9620.000000	85.516
9750.000000	85.508
9880.000000	85.454
