frequency_hz,relative_db
20.0,69.734
20.290906698750476,69.73877266746877
20.586044732869844,69.83005757329691
20.885475648548283,69.90634470488465
21.189261887185914,69.97170920259967
21.49746679841394,70.08108804742902
21.810154653305165,70.12955850593178
22.12739065777668,70.24554243788096
22.449240966187475,70.19625807149626
22.77577269513385,70.18267696926846
23.107053937445478,70.20449377562119
23.44315377638505,70.20694743706025
23.784142300054445,70.23346708900526
24.130090616010463,70.18301072797836
24.481070866093134,70.25069984250608
24.837156241469714,70.28845128824146
25.1984209978975,70.27472960888929
25.56494047120865,70.36956051396331
25.936791093020236,70.16913765593215
26.3140504066728,70.3739593172048
26.69679708340074,70.42690213853847
27.08511093873791,70.39919112490097
27.47907294916184,70.39093024316388
27.878765268980047,70.4345580059327
28.284271247461966,70.4758611075682
28.695675446220072,70.53061212831746
29.11306365684382,70.50804103160769
29.536522918790062,70.51600876053345
29.966141537533712,70.54467223070544
30.402009102982383,70.49313078020036
30.844216508158908,70.45332322061769
31.29285596815558,70.52442834588587
31.74802103936409,70.59154781401494
32.20980663898519,70.55915856265742
32.67830906482211,70.57206361669486
33.153626015361866,70.60861617878655
33.63585661014871,70.69967132202974
34.125101410453844,70.73120446205996
34.62146244024586,70.62449830309583
35.12504320746613,70.654155098481
35.635948725613716,70.59412010135304
36.15428553564419,70.51976402525992
36.68016172818701,70.53906867941271
37.21368696608603,70.57073490493124
37.754972507267915,70.5881326001938
38.30413122794313,70.5414835965071
38.86127764614443,70.53411277646144
39.4265279456077,70.55750884199335
40.000000000000206,70.58355
40.58181339750116,70.59924231260837
41.1720894657399,70.5561286402456
41.77095129709678,70.55335450159048
42.37852377437204,70.56341711850276
42.9949335968281,70.5386560747041
43.62030930661056,70.52979142594258
44.25478131555359,70.55323485104246
44.89848193237519,70.57819307246406
45.55154539026795,70.60169804965243
46.21410787489121,70.55301867313642
46.88630755277036,70.53394901338108
47.56828460010916,70.54986037314629
48.260181232021196,70.56680414244619
48.962141732186545,70.52639386277467
49.674312482939705,70.5099568751706
50.39684199579528,70.51918736649755
51.129880942417586,70.47714453938417
51.873582186040764,70.45907253626585
52.628100813345895,70.40870813655903
53.393594166801776,70.3868200833314
54.17022187747612,70.33670891388297
54.95814589832399,70.31940224922012
55.75753053796041,70.27602900215676
56.56854249492426,70.32106837427699
57.39135089244048,70.28157706029808
58.226127313687975,70.27071480993261
59.073045837580466,70.2150626335075
59.932283075067765,70.18948478499583
60.804018205965114,70.1437589076421
61.68843301631817,70.21203033814699
62.58571193631152,70.23224601007932
63.49604207872855,70.18195528592202
64.41961327797075,70.16856012890734
65.35661812964459,70.16328774177356
66.3072520307241,70.04500627993579
67.27171322029778,70.00139424376731
68.25020282090806,70.07234254400855
69.2429248804921,70.0376747442522
70.25008641493265,70.00746283098519
71.27189745122783,69.88821321941464
72.30857107128878,69.83875600850332
73.36032345637442,69.83058664148322
74.42737393217246,69.77056376161985
75.50994501453623,69.76156805685122
76.60826245588666,69.74383475088226
77.72255529228926,69.61335831896757
78.85305589121582,69.57549837487444
80.00000000000082,69.59409090909094
81.16362679500274,69.659869092551
82.34417893148023,69.62176861668186
83.541902594194,69.52514050677372
84.75704754874454,69.42890733874667
85.98986719365665,69.40426079683806
87.24061861322157,69.40780285513794
88.50956263110764,69.41118738570074
89.79696386475084,69.41767549217401
91.10309078053635,69.40895703611214
92.42821574978288,69.29002673570112
93.77261510554118,69.29034806357825
95.13656920021877,69.18014520752048
96.52036246404286,69.12663140442413
97.92428346437356,69.0592083869621
99.34862496587989,69.02493746486088
100.79368399159105,68.9512958022032
102.25976188483567,68.93249728582188
103.74716437208203,68.86289896813119
105.25620162669229,68.83291154991451
106.78718833360406,68.82467893366542
108.34044375495276,68.77316527043828
109.9162917966485,68.64695812729067
111.51506107592134,68.61974652625034
113.13708498984903,68.52205606076066
114.78270178488147,68.52032816312587
116.45225462737648,68.52053567638822
118.14609167516147,68.48447474253143
119.86456615013608,68.40654192509133
121.60803641193078,68.33704336536994
123.3768660326369,68.30542182411652
125.17142387262359,68.16876875045304
126.99208415745765,68.09940159360087
128.83922655594208,68.09772058008305
130.71323625928977,68.08689227337943
132.61450406144883,68.0124473172348
134.5434264405962,67.91376142658058
136.50040564181674,67.87619634922365
138.48584976098482,67.86308207138629
140.50017282986593,67.8175701002733
142.5437949024563,67.7942916100755
144.61714214257822,67.72804631379667
146.7206469127495,67.68925507260406
148.8547478643456,67.61278662111087
151.01989002907314,67.58422926931193
153.216524911774,67.53224224375468
155.4451105845792,67.44404566982328
157.70611178243232,67.4027127442602
160.00000000000236,67.38199999999995
162.3272535900062,67.32839559231019
164.6883578629612,67.29221761617872
167.08380518838874,67.23998625945643
169.51409509748981,67.19561004976327
171.97973438731407,67.10683291668138
174.4812372264439,67.09169153199417
177.01912526221608,67.00519417354907
179.5939277295025,66.99094693323008
182.20618156107355,66.93611933946107
184.85643149956664,66.88879659805663
187.54523021108326,66.8142306209982
190.27313840043846,66.73022653934629
193.04072492808663,66.6462782521574
195.84856692874806,66.60261903622357
198.69724993176072,66.58980182529342
201.58736798318304,66.50984401331124
204.5195237696723,66.41205611245941
207.49432874416505,66.3109928226984
210.5124032533856,66.2201865846758
213.57437666720915,66.19946405833198
216.68088750990657,66.2015277020949
219.83258359329807,66.1904752461737
223.03012215184378,66.13268219743775
226.2741699796992,66.03328793739074
229.5654035697641,65.92180103422221
232.90450925475412,65.90076485417681
236.2921833503241,65.89203469884245
239.72913230027333,65.81495789066581
243.21607282386276,65.79359048503679
246.75373206527502,65.69886788650172
250.34284774524843,65.62050019734978
253.9841683149166,65.60080626757804
257.67845311188546,65.58817546932285
261.42647251858085,65.52128305126918
265.22900812289896,65.49407423418243
269.08685288119375,65.43031505410484
273.0008112836349,65.40134695768637
276.97169952197106,65.40027452956977
281.00034565973334,65.39609941237846
285.0875898049141,65.32423452168332
289.23428428515797,65.2266857482275
293.44129382550057,65.20161741234901
297.7094957286928,65.18937151281392
302.0397800581479,65.11885419179752
306.4330498235497,65.00986513350092
310.89022116916016,64.9292442843581
315.41222356486645,64.90224005226608
320.00000000000654,64.89271999999998
324.6545071800142,64.8127676343862
329.3767157259242,64.8011108185886
334.16761037677935,64.79249818807658
339.02819019498156,64.7266100844881
343.95946877463007,64.70072619181046
348.9624744528898,64.70093223109514
354.03825052443415,64.69354273394063
359.187855459007,64.61236577471558
364.4123631221491,64.51643024938956
369.71286299913527,64.49933763495117
375.0904604221685,64.50119960517151
380.54627680087896,64.49540789863873
386.08144985617537,64.42636422235873
391.6971338574982,64.39399889029156
397.3944998635236,64.31616341226824
403.1747359663683,64.30118400083195
409.0390475393468,64.2909097938009
414.9886574883323,64.22050595953543
421.0248065067734,64.20877741615293
427.1487533344206,64.28205485968205
433.3617750198154,64.28927440248218
439.6651671865984,64.22541198942972
446.06024430368984,64.2002108365825
452.54833995940066,64.19964745399014
459.13080713953053,64.20171026904652
465.8090185095106,64.19270557038477
