frequency,raw,smoothed
233.57,-0.76,-0.76
235.9,-0.75,-0.76
238.26,-0.76,-0.76
240.64,-0.76,-0.76
243.05,-0.77,-0.77
245.48,-0.77,-0.77
247.93,-0.78,-0.78
250.41,-0.79,-0.79
252.92,-0.79,-0.79
255.45,-0.79,-0.79
258.0,-0.79,-0.79
260.58,-0.79,-0.79
263.19,-0.8,-0.8
265.82,-0.8,-0.8
268.48,-0.8,-0.8
271.16,-0.8,-0.8
273.87,-0.8,-0.8
276.61,-0.8,-0.8
279.38,-0.81,-0.81
282.17,-0.81,-0.81
284.99,-0.81,-0.82
287.84,-0.82,-0.82
290.72,-0.82,-0.82
293.63,-0.82,-0.82
296.57,-0.82,-0.82
299.53,-0.83,-0.83
302.53,-0.83,-0.83
305.55,-0.83,-0.83
308.61,-0.84,-0.84
311.69,-0.84,-0.84
314.81,-0.85,-0.85
317.96,-0.85,-0.85
321.14,-0.85,-0.85
324.35,-0.85,-0.85
327.59,-0.86,-0.86
330.87,-0.86,-0.86
334.18,-0.86,-0.86
337.52,-0.86,-0.87
340.9,-0.87,-0.87
344.3,-0.88,-0.88
347.75,-0.88,-0.89
351.23,-0.89,-0.89
354.74,-0.9,-0.9
358.28,-0.9,-0.91
361.87,-0.91,-0.91
365.49,-0.91,-0.91
369.14,-0.91,-0.91
372.83,-0.92,-0.92
376.56,-0.92,-0.92
380.33,-0.93,-0.93
384.13,-0.93,-0.93
387.97,-0.94,-0.94
391.85,-0.95,-0.95
395.77,-0.95,-0.96
399.73,-0.96,-0.96
403.72,-0.97,-0.97
407.76,-0.97,-0.97
411.84,-0.97,-0.98
415.96,-0.98,-0.98
420.12,-0.99,-0.99
424.32,-0.99,-1.0
428.56,-1.0,-1.0
432.85,-1.0,-1.0
437.18,-1.0,-1.0
441.55,-1.0,-1.0
445.96,-1.0,-1.0
450.42,-0.99,-1.0
454.93,-0.99,-0.99
459.48,-0.98,-0.98
464.07,-0.96,-0.97
468.71,-0.95,-0.95
473.4,-0.93,-0.93
478.13,-0.91,-0.91
482.91,-0.89,-0.89
487.74,-0.87,-0.87
492.62,-0.85,-0.85
497.55,-0.82,-0.82
502.52,-0.79,-0.79
507.55,-0.76,-0.76
512.62,-0.72,-0.72
517.75,-0.68,-0.68
522.93,-0.65,-0.65
528.16,-0.61,-0.61
533.44,-0.58,-0.58
538.77,-0.55,-0.55
544.16,-0.53,-0.53
549.6,-0.52,-0.52
555.1,-0.51,-0.51
560.65,-0.51,-0.51
566.25,-0.52,-0.52
571.92,-0.52,-0.52
577.64,-0.52,-0.52
583.41,-0.52,-0.52
589.25,-0.51,-0.51
595.14,-0.49,-0.49
601.09,-0.47,-0.47
607.1,-0.45,-0.45
613.17,-0.43,-0.44
619.3,-0.43,-0.43
625.5,-0.45,-0.45
631.75,-0.48,-0.48
638.07,-0.53,-0.54
644.45,-0.6,-0.6
650.89,-0.68,-0.68
657.4,-0.75,-0.75
663.98,-0.8,-0.8
670.62,-0.84,-0.84
677.32,-0.87,-0.87
684.1,-0.88,-0.88
690.94,-0.88,-0.88
697.85,-0.85,-0.85
704.83,-0.79,-0.8
711.87,-0.73,-0.73
718.99,-0.67,-0.67
726.18,-0.61,-0.61
733.44,-0.56,-0.56
740.78,-0.5,-0.51
748.19,-0.46,-0.46
755.67,-0.42,-0.42
763.23,-0.38,-0.38
770.86,-0.35,-0.35
778.57,-0.31,-0.32
786.35,-0.29,-0.29
794.22,-0.27,-0.27
802.16,-0.26,-0.26
810.18,-0.24,-0.24
818.28,-0.23,-0.23
826.46,-0.22,-0.22
834.73,-0.2,-0.21
843.08,-0.19,-0.19
851.51,-0.18,-0.18
860.02,-0.15,-0.15
868.62,-0.13,-0.13
877.31,-0.1,-0.1
886.08,-0.08,-0.08
894.94,-0.06,-0.06
903.89,-0.05,-0.05
912.93,-0.04,-0.04
922.06,-0.04,-0.03
931.28,-0.02,-0.02
940.59,-0.01,-0.02
950.0,-0.01,-0.01
959.5,-0.01,-0.01
969.09,-0.01,-0.02
978.78,-0.02,-0.02
988.57,-0.01,-0.01
998.46,-0.0,-0.0
1008.44,0.01,0.01
1018.53,0.02,0.02
1028.71,0.02,0.02
1039.0,0.02,0.02
1049.39,0.02,0.02
1059.88,0.01,0.02
1070.48,0.03,0.02
1081.19,0.02,0.02
1092.0,0.03,0.03
1102.92,0.03,0.03
1113.95,0.05,0.05
1125.09,0.08,0.07
1136.34,0.1,0.1
1147.7,0.12,0.12
1159.18,0.15,0.15
1170.77,0.17,0.17
1182.48,0.18,0.17
1194.3,0.16,0.16
1206.25,0.13,0.13
1218.31,0.08,0.08
1230.49,0.04,0.03
1242.8,-0.01,-0.01
1255.22,-0.05,-0.04
1267.78,-0.05,-0.07
1280.45,-0.09,-0.08
1293.26,-0.08,-0.07
1306.19,-0.05,-0.06
1319.25,-0.03,-0.03
1332.45,-0.02,-0.02
1345.77,-0.01,-0.01
1359.23,-0.02,-0.03
1372.82,-0.06,-0.06
1386.55,-0.12,-0.11
1400.41,-0.17,-0.18
1414.42,-0.22,-0.22
1428.56,-0.27,-0.25
1442.85,-0.26,-0.27
1457.28,-0.26,-0.27
1471.85,-0.26,-0.24
1486.57,-0.2,-0.21
1501.43,-0.17,-0.18
1516.45,-0.17,-0.16
1531.61,-0.14,-0.15
1546.93,-0.17,-0.17
1562.4,-0.19,-0.19
1578.02,-0.24,-0.23
1593.8,-0.24,-0.25
1609.74,-0.27,-0.27
1625.84,-0.28,-0.28
1642.1,-0.28,-0.28
1658.52,-0.26,-0.26
1675.1,-0.21,-0.22
1691.85,-0.18,-0.17
1708.77,-0.1,-0.11
1725.86,-0.04,-0.04
1743.12,0.04,0.04
1760.55,0.12,0.11
1778.15,0.18,0.18
1795.94,0.25,0.24
1813.9,0.29,0.3
1832.03,0.38,0.38
1850.36,0.47,0.46
1868.86,0.58,0.59
1887.55,0.72,0.73
1906.42,0.92,0.9
1925.49,1.07,1.07
1944.74,1.25,1.25
1964.19,1.42,1.42
1983.83,1.6,1.59
2003.67,1.75,1.75
2023.71,1.91,1.91
2043.94,2.08,2.08
2064.38,2.26,2.26
2085.03,2.44,2.45
2105.88,2.64,2.64
2126.94,2.85,2.84
2148.2,3.03,3.04
2169.69,3.23,3.22
2191.38,3.39,3.4
2213.3,3.56,3.55
2235.43,3.71,3.69
2257.78,3.8,3.81
2280.36,3.94,3.94
2303.17,4.08,4.09
2326.2,4.28,4.28
2349.46,4.51,4.51
2372.95,4.77,4.76
2396.68,5.02,5.02
2420.65,5.26,5.26
2444.86,5.49,5.48
2469.31,5.68,5.67
2494.0,5.85,5.86
2518.94,6.05,6.05
2544.13,6.26,6.26
2569.57,6.47,6.46
2595.27,6.65,6.65
2621.22,6.82,6.81
2647.43,6.95,6.95
2673.9,7.1,7.09
2700.64,7.22,7.23
2727.65,7.39,7.39
2754.93,7.54,7.54
2782.48,7.7,7.69
2810.3,7.83,7.82
2838.4,7.93,7.93
2866.79,8.03,8.03
2895.46,8.12,8.12
2924.41,8.21,8.21
2953.65,8.32,8.32
2983.19,8.44,8.44
3013.02,8.56,8.56
3043.15,8.67,8.67
3073.58,8.79,8.78
3104.32,8.88,8.89
3135.36,8.99,8.99
3166.72,9.09,9.09
3198.38,9.18,9.18
3230.37,9.28,9.26
3262.67,9.33,9.34
3295.3,9.4,9.4
3328.25,9.46,9.45
3361.53,9.49,9.49
3395.15,9.52,9.52
3429.1,9.54,9.53
3463.39,9.54,9.54
3498.03,9.53,9.52
3533.01,9.51,9.51
3568.34,9.5,9.51
3604.02,9.53,9.53
3640.06,9.58,9.58
3676.46,9.66,9.66
3713.22,9.78,9.77
3750.36,9.92,9.92
3787.86,10.09,10.1
3825.74,10.3,10.29
3864.0,10.51,10.51
3902.64,10.73,10.73
3941.66,10.95,10.95
3981.08,11.16,11.16
4020.89,11.35,11.35
4061.1,11.51,11.51
4101.71,11.64,11.64
4142.73,11.73,11.72
4184.15,11.76,11.76
4226.0,11.75,11.75
4268.26,11.7,11.69
4310.94,11.6,11.6
4354.05,11.47,11.47
4397.59,11.32,11.31
4441.56,11.14,11.14
4485.98,10.96,10.96
4530.84,10.77,10.77
4576.15,10.58,10.58
4621.91,10.38,10.38
4668.13,10.19,10.19
4714.81,10.0,10.0
4761.96,9.82,9.82
4809.58,9.65,9.65
4857.67,9.49,9.49
4906.25,9.36,9.35
4955.31,9.23,9.23
5004.87,9.13,9.13
5054.91,9.05,9.04
5105.46,8.98,8.98
5156.52,8.94,8.94
5208.08,8.92,8.91
5260.16,8.91,8.91
5312.77,8.93,8.93
5365.89,8.97,8.97
5419.55,9.04,9.04
5473.75,9.14,9.14
5528.49,9.26,9.26
5583.77,9.41,9.41
5639.61,9.57,9.58
5696.0,9.76,9.76
5752.96,9.94,9.94
5810.49,10.12,10.12
5868.6,10.29,10.28
5927.28,10.42,10.41
5986.56,10.5,10.48
6046.42,10.51,10.49
6106.89,10.46,10.42
6167.96,10.32,10.28
6229.64,10.1,10.06
6291.93,9.83,9.78
6354.85,9.52,9.48
6418.4,9.22,9.18
6482.58,8.93,8.91
6547.41,8.69,8.68
6612.88,8.49,8.49
6679.01,8.31,8.32
6745.8,8.14,8.16
6813.26,7.98,8.01
6881.39,7.81,7.85
6950.21,7.64,7.69
7019.71,7.47,7.54
7089.91,7.31,7.38
7160.81,7.16,7.23
7232.41,7.03,7.08
7304.74,6.93,6.94
7377.79,6.86,6.81
7451.56,6.84,6.67
7526.08,6.85,6.55
7601.34,6.92,6.42
7677.35,7.03,6.3
7754.13,7.17,6.18
7831.67,7.37,6.06
7909.98,7.58,5.94
7989.08,7.79,5.82
8068.98,8.0,5.7
8149.67,8.16,5.59
8231.16,8.27,5.47
8313.47,8.28,5.36
8396.61,8.18,5.27
8480.57,7.95,5.18
8565.38,7.59,5.1
8651.03,7.11,5.02
8737.54,6.51,4.95
8824.92,5.84,4.88
8913.17,5.12,4.78
9002.3,4.37,4.66
9092.32,3.63,4.51
9183.25,2.92,4.34
9275.08,2.27,4.16
9367.83,1.68,3.96
9461.51,1.15,3.76
9556.12,0.7,3.55
9651.68,0.34,3.34
9748.2,0.05,3.14
9845.68,-0.16,2.93
9944.14,-0.29,2.73
10043.58,-0.33,2.52
10144.02,-0.29,2.35
10245.46,-0.16,2.18
10347.91,0.02,2.0
10451.39,0.23,1.82
10555.91,0.42,1.64
10661.46,0.54,1.46
10768.08,0.54,1.28
10875.76,0.39,1.1
10984.52,0.1,0.91
11094.36,-0.35,0.72
11205.31,-0.85,0.53
11317.36,-1.36,0.34
11430.53,-1.83,0.15
11544.84,-2.19,-0.04
11660.29,-2.45,-0.24
11776.89,-2.57,-0.44
11894.66,-2.54,-0.64
12013.6,-2.41,-0.84
12133.74,-2.21,-1.04
12255.08,-1.98,-1.24
12377.63,-1.77,-1.45
12501.41,-1.58,-1.65
12626.42,-1.44,-1.86
12752.68,-1.32,-2.07
12880.21,-1.22,-2.29
13009.01,-1.11,-2.5
13139.1,-1.0,-2.72
13270.49,-0.85,-2.93
13403.2,-0.68,-3.15
13537.23,-0.48,-3.37
13672.6,-0.3,-3.59
13809.33,-0.18,-3.82
13947.42,-0.14,-4.04
14086.9,-0.26,-4.27
14227.77,-0.54,-4.5
14370.04,-0.97,-4.73
14513.74,-1.56,-4.96
14658.88,-2.26,-5.2
14805.47,-3.04,-5.43
14953.52,-3.87,-5.67
15103.06,-4.67,-5.91
15254.09,-5.38,-6.15
15406.63,-5.96,-6.39
15560.7,-6.38,-6.63
15716.3,-6.69,-6.88
15873.47,-6.97,-7.12
16032.2,-7.27,-7.37
16192.52,-7.7,-7.62
16354.45,-8.42,-7.87
16517.99,-9.34,-8.13
16683.17,-10.53,-8.38
16850.01,-12.05,-8.64
17018.51,-13.48,-8.9
17188.69,-14.67,-9.16
17360.58,-15.69,-9.42
17534.18,-16.5,-9.68
17709.53,-15.57,-9.95
17886.62,-13.78,-10.21
18065.49,-12.14,-10.48
18246.14,-10.87,-10.75
18428.6,-9.94,-11.02
18612.89,-9.33,-11.3
18799.02,-9.08,-11.57
18987.01,-9.05,-11.85
19176.88,-9.29,-12.13
19368.65,-9.86,-12.41
19562.33,-10.55,-12.69
19757.96,-11.13,-12.97
19955.54,-11.65,-13.26
