frequency,raw,smoothed
247.93,-0.42,-0.42
250.41,-0.42,-0.42
252.92,-0.43,-0.43
255.45,-0.43,-0.43
258.0,-0.44,-0.44
260.58,-0.45,-0.45
263.19,-0.46,-0.46
265.82,-0.46,-0.47
268.48,-0.47,-0.47
271.16,-0.48,-0.48
273.87,-0.48,-0.49
276.61,-0.49,-0.49
279.38,-0.5,-0.5
282.17,-0.5,-0.5
284.99,-0.51,-0.51
287.84,-0.51,-0.51
290.72,-0.51,-0.51
293.63,-0.51,-0.51
296.57,-0.51,-0.51
299.53,-0.52,-0.52
302.53,-0.52,-0.52
305.55,-0.53,-0.53
308.61,-0.54,-0.54
311.69,-0.55,-0.55
314.81,-0.56,-0.56
317.96,-0.57,-0.57
321.14,-0.58,-0.58
324.35,-0.59,-0.6
327.59,-0.61,-0.61
330.87,-0.62,-0.62
334.18,-0.62,-0.63
337.52,-0.63,-0.63
340.9,-0.64,-0.64
344.3,-0.64,-0.64
347.75,-0.65,-0.65
351.23,-0.66,-0.66
354.74,-0.67,-0.67
358.28,-0.68,-0.68
361.87,-0.68,-0.69
365.49,-0.69,-0.69
369.14,-0.69,-0.69
372.83,-0.68,-0.68
376.56,-0.68,-0.68
380.33,-0.67,-0.67
384.13,-0.67,-0.67
387.97,-0.66,-0.66
391.85,-0.66,-0.66
395.77,-0.65,-0.65
399.73,-0.65,-0.65
403.72,-0.65,-0.65
407.76,-0.64,-0.64
411.84,-0.64,-0.64
415.96,-0.62,-0.63
420.12,-0.62,-0.62
424.32,-0.61,-0.61
428.56,-0.61,-0.61
432.85,-0.61,-0.61
437.18,-0.62,-0.62
441.55,-0.62,-0.62
445.96,-0.61,-0.62
450.42,-0.61,-0.61
454.93,-0.61,-0.61
459.48,-0.6,-0.6
464.07,-0.6,-0.61
468.71,-0.61,-0.61
473.4,-0.61,-0.61
478.13,-0.6,-0.6
482.91,-0.59,-0.59
487.74,-0.57,-0.57
492.62,-0.56,-0.56
497.55,-0.56,-0.56
502.52,-0.55,-0.55
507.55,-0.54,-0.54
512.62,-0.53,-0.53
517.75,-0.51,-0.51
522.93,-0.49,-0.5
528.16,-0.49,-0.49
533.44,-0.48,-0.48
538.77,-0.46,-0.47
544.16,-0.45,-0.45
549.6,-0.43,-0.43
555.1,-0.41,-0.42
560.65,-0.41,-0.4
566.25,-0.4,-0.4
571.92,-0.4,-0.41
577.64,-0.42,-0.43
583.41,-0.46,-0.46
589.25,-0.51,-0.51
595.14,-0.55,-0.55
601.09,-0.59,-0.58
607.1,-0.6,-0.59
613.17,-0.58,-0.58
619.3,-0.56,-0.56
625.5,-0.54,-0.54
631.75,-0.53,-0.53
638.07,-0.54,-0.54
644.45,-0.56,-0.56
650.89,-0.61,-0.62
657.4,-0.7,-0.7
663.98,-0.8,-0.8
670.62,-0.91,-0.91
677.32,-1.02,-1.02
684.1,-1.11,-1.11
690.94,-1.18,-1.18
697.85,-1.2,-1.19
704.83,-1.16,-1.16
711.87,-1.09,-1.09
718.99,-1.01,-1.02
726.18,-0.96,-0.96
733.44,-0.9,-0.9
740.78,-0.84,-0.84
748.19,-0.78,-0.79
755.67,-0.75,-0.75
763.23,-0.73,-0.72
770.86,-0.69,-0.69
778.57,-0.66,-0.67
786.35,-0.64,-0.63
794.22,-0.61,-0.61
802.16,-0.57,-0.58
810.18,-0.56,-0.56
818.28,-0.54,-0.54
826.46,-0.51,-0.52
834.73,-0.51,-0.51
843.08,-0.5,-0.49
851.51,-0.47,-0.48
860.02,-0.47,-0.47
868.62,-0.47,-0.46
877.31,-0.46,-0.46
886.08,-0.45,-0.46
894.94,-0.45,-0.45
903.89,-0.44,-0.44
912.93,-0.41,-0.41
922.06,-0.37,-0.37
931.28,-0.33,-0.34
940.59,-0.31,-0.31
950.0,-0.3,-0.3
959.5,-0.29,-0.29
969.09,-0.26,-0.25
978.78,-0.19,-0.18
988.57,-0.09,-0.1
998.46,-0.01,-0.02
1008.44,0.06,0.05
1018.53,0.11,0.11
1028.71,0.17,0.17
1039.0,0.24,0.24
1049.39,0.33,0.34
1059.88,0.44,0.45
1070.48,0.57,0.54
1081.19,0.64,0.63
1092.0,0.7,0.75
1102.92,0.9,0.89
1113.95,1.08,1.07
1125.09,1.22,1.21
1136.34,1.32,1.29
1147.7,1.33,1.38
1159.18,1.45,1.46
1170.77,1.59,1.55
1182.48,1.63,1.63
1194.3,1.66,1.67
1206.25,1.69,1.7
1218.31,1.73,1.72
1230.49,1.73,1.73
1242.8,1.72,1.71
1255.22,1.67,1.67
1267.78,1.62,1.62
1280.45,1.58,1.59
1293.26,1.57,1.57
1306.19,1.56,1.56
1319.25,1.54,1.54
1332.45,1.49,1.47
1345.77,1.4,1.39
1359.23,1.28,1.35
1372.82,1.33,1.3
1386.55,1.3,1.25
1400.41,1.17,1.2
1414.42,1.14,1.14
1428.56,1.11,1.13
1442.85,1.18,1.19
1457.28,1.25,1.24
1471.85,1.31,1.25
1486.57,1.24,1.24
1501.43,1.16,1.25
1516.45,1.3,1.26
1531.61,1.34,1.28
1546.93,1.24,1.27
1562.4,1.19,1.2
1578.02,1.15,1.14
1593.8,1.1,1.1
1609.74,1.04,1.03
1625.84,0.96,0.95
1642.1,0.87,0.88
1658.52,0.81,0.83
1675.1,0.78,0.8
1691.85,0.78,0.72
1708.77,0.67,0.63
1725.86,0.48,0.58
1743.12,0.59,0.6
1760.55,0.7,0.67
1778.15,0.79,0.74
1795.94,0.75,0.76
1813.9,0.77,0.79
1832.03,0.85,0.86
1850.36,1.0,1.0
1868.86,1.15,1.15
