frequency,raw,smoothed
191.42,-1.45,-1.46
193.33,-1.5,-1.49
195.27,-1.53,-1.53
197.22,-1.57,-1.57
199.19,-1.62,-1.61
201.18,-1.65,-1.66
203.19,-1.71,-1.7
205.23,-1.74,-1.74
207.28,-1.77,-1.78
209.35,-1.82,-1.81
211.44,-1.85,-1.85
213.56,-1.88,-1.89
215.69,-1.92,-1.92
217.85,-1.97,-1.96
220.03,-2.0,-2.0
222.23,-2.04,-2.04
224.45,-2.08,-2.08
226.7,-2.12,-2.12
228.96,-2.17,-2.16
231.25,-2.2,-2.21
233.57,-2.26,-2.25
235.9,-2.29,-2.29
238.26,-2.34,-2.34
240.64,-2.39,-2.38
243.05,-2.43,-2.43
245.48,-2.48,-2.49
247.93,-2.54,-2.53
250.41,-2.59,-2.58
252.92,-2.62,-2.63
255.45,-2.68,-2.68
258.0,-2.73,-2.73
260.58,-2.78,-2.78
263.19,-2.82,-2.82
265.82,-2.87,-2.87
268.48,-2.92,-2.92
271.16,-2.97,-2.97
273.87,-3.01,-3.02
276.61,-3.07,-3.06
279.38,-3.12,-3.11
282.17,-3.15,-3.16
284.99,-3.21,-3.2
287.84,-3.24,-3.24
290.72,-3.27,-3.28
293.63,-3.32,-3.31
296.57,-3.35,-3.35
299.53,-3.39,-3.39
302.53,-3.44,-3.43
305.55,-3.47,-3.47
308.61,-3.5,-3.51
311.69,-3.55,-3.55
314.81,-3.59,-3.58
317.96,-3.62,-3.62
321.14,-3.65,-3.65
324.35,-3.69,-3.68
327.59,-3.69,-3.7
330.87,-3.73,-3.72
334.18,-3.73,-3.74
337.52,-3.78,-3.77
340.9,-3.78,-3.77
344.3,-3.78,-3.78
347.75,-3.78,-3.79
351.23,-3.81,-3.81
354.74,-3.83,-3.82
358.28,-3.83,-3.83
361.87,-3.82,-3.81
365.49,-3.79,-3.8
369.14,-3.78,-3.79
372.83,-3.78,-3.77
376.56,-3.77,-3.76
380.33,-3.73,-3.74
384.13,-3.7,-3.71
387.97,-3.69,-3.68
391.85,-3.64,-3.65
395.77,-3.61,-3.61
399.73,-3.57,-3.57
403.72,-3.53,-3.53
407.76,-3.49,-3.49
411.84,-3.44,-3.44
415.96,-3.41,-3.4
420.12,-3.35,-3.36
424.32,-3.32,-3.32
428.56,-3.27,-3.27
432.85,-3.24,-3.24
437.18,-3.2,-3.19
441.55,-3.15,-3.16
445.96,-3.11,-3.11
450.42,-3.07,-3.06
454.93,-3.01,-3.02
459.48,-2.97,-2.97
464.07,-2.93,-2.92
468.71,-2.87,-2.87
473.4,-2.82,-2.82
478.13,-2.76,-2.77
482.91,-2.73,-2.72
487.74,-2.67,-2.67
492.62,-2.61,-2.61
497.55,-2.55,-2.55
502.52,-2.5,-2.5
507.55,-2.45,-2.45
512.62,-2.41,-2.4
517.75,-2.35,-2.36
522.93,-2.3,-2.31
528.16,-2.27,-2.26
533.44,-2.2,-2.21
538.77,-2.16,-2.15
544.16,-2.1,-2.1
549.6,-2.05,-2.06
555.1,-2.02,-2.01
560.65,-1.99,-1.98
566.25,-1.93,-1.95
571.92,-1.92,-1.91
577.64,-1.87,-1.87
583.41,-1.84,-1.85
589.25,-1.83,-1.82
595.14,-1.8,-1.81
601.09,-1.78,-1.78
607.1,-1.78,-1.76
613.17,-1.73,-1.74
619.3,-1.73,-1.72
625.5,-1.7,-1.7
631.75,-1.69,-1.69
638.07,-1.68,-1.67
644.45,-1.64,-1.65
650.89,-1.64,-1.63
657.4,-1.59,-1.6
663.98,-1.59,-1.58
670.62,-1.55,-1.56
677.32,-1.55,-1.54
684.1,-1.51,-1.52
690.94,-1.5,-1.5
697.85,-1.47,-1.47
704.83,-1.45,-1.45
711.87,-1.41,-1.42
718.99,-1.4,-1.39
726.18,-1.36,-1.36
733.44,-1.33,-1.33
740.78,-1.3,-1.3
748.19,-1.27,-1.27
755.67,-1.24,-1.25
763.23,-1.22,-1.22
770.86,-1.22,-1.2
778.57,-1.17,-1.18
786.35,-1.17,-1.18
794.22,-1.17,-1.16
802.16,-1.17,-1.16
810.18,-1.13,-1.14
818.28,-1.13,-1.12
826.46,-1.08,-1.09
834.73,-1.07,-1.06
843.08,-1.03,-1.03
851.51,-0.98,-0.99
860.02,-0.95,-0.94
868.62,-0.88,-0.88
877.31,-0.82,-0.82
886.08,-0.77,-0.76
894.94,-0.69,-0.7
903.89,-0.64,-0.63
912.93,-0.57,-0.57
922.06,-0.5,-0.5
931.28,-0.44,-0.44
940.59,-0.38,-0.38
950.0,-0.32,-0.32
959.5,-0.26,-0.26
969.09,-0.2,-0.2
978.78,-0.13,-0.14
988.57,-0.08,-0.07
998.46,-0.01,-0.01
1008.44,0.05,0.05
1018.53,0.11,0.11
1028.71,0.15,0.15
1039.0,0.2,0.2
1049.39,0.25,0.26
1059.88,0.32,0.32
1070.48,0.38,0.37
1081.19,0.41,0.42
1092.0,0.47,0.47
1102.92,0.52,0.52
1113.95,0.57,0.57
1125.09,0.62,0.62
1136.34,0.66,0.66
1147.7,0.71,0.71
1159.18,0.76,0.75
1170.77,0.8,0.81
1182.48,0.86,0.87
1194.3,0.94,0.93
1206.25,0.99,0.99
1218.31,1.05,1.06
1230.49,1.12,1.11
1242.8,1.18,1.18
1255.22,1.23,1.24
1267.78,1.31,1.3
1280.45,1.36,1.36
1293.26,1.42,1.42
1306.19,1.48,1.48
1319.25,1.54,1.54
1332.45,1.6,1.6
1345.77,1.67,1.67
1359.23,1.73,1.73
1372.82,1.78,1.78
1386.55,1.83,1.83
1400.41,1.88,1.88
1414.42,1.93,1.93
1428.56,1.98,1.98
1442.85,2.04,2.03
1457.28,2.07,2.08
1471.85,2.14,2.14
1486.57,2.2,2.19
1501.43,2.25,2.24
1516.45,2.29,2.3
1531.61,2.34,2.35
1546.93,2.43,2.42
1562.4,2.48,2.48
1578.02,2.53,2.54
1593.8,2.59,2.59
1609.74,2.65,2.65
1625.84,2.71,2.71
1642.1,2.76,2.76
1658.52,2.81,2.81
1675.1,2.85,2.86
1691.85,2.91,2.91
1708.77,2.98,2.98
1725.86,3.04,3.04
1743.12,3.12,3.12
1760.55,3.19,3.2
1778.15,3.29,3.28
1795.94,3.36,3.37
1813.9,3.46,3.47
1832.03,3.57,3.56
1850.36,3.66,3.66
1868.86,3.74,3.75
1887.55,3.83,3.83
1906.42,3.91,3.91
1925.49,3.99,3.99
1944.74,4.06,4.05
1964.19,4.11,4.11
1983.83,4.16,4.17
2003.67,4.23,4.23
2023.71,4.3,4.29
2043.94,4.36,4.37
2064.38,4.44,4.44
2085.03,4.52,4.52
2105.88,4.59,4.6
2126.94,4.69,4.68
2148.2,4.75,4.76
2169.69,4.86,4.85
2191.38,4.95,4.96
2213.3,5.08,5.08
2235.43,5.23,5.21
2257.78,5.34,5.36
2280.36,5.51,5.5
2303.17,5.66,5.65
2326.2,5.79,5.81
2349.46,5.95,5.95
2372.95,6.11,6.1
2396.68,6.23,6.24
2420.65,6.36,6.36
2444.86,6.47,6.47
2469.31,6.58,6.58
2494.0,6.66,6.67
2518.94,6.77,6.76
2544.13,6.84,6.84
2569.57,6.9,6.92
2595.27,6.97,6.96
2621.22,6.97,6.96
2647.43,6.89,6.89
2673.9,6.78,6.77
2700.64,6.62,6.63
2727.65,6.49,6.48
2754.93,6.35,6.34
2782.48,6.23,6.24
2810.3,6.17,6.18
2838.4,6.18,6.19
2866.79,6.28,6.28
2895.46,6.43,6.43
2924.41,6.6,6.61
2953.65,6.82,6.8
2983.19,6.99,6.99
3013.02,7.16,7.17
3043.15,7.33,7.33
3073.58,7.49,7.49
3104.32,7.64,7.64
3135.36,7.77,7.78
3166.72,7.92,7.92
3198.38,8.05,8.04
3230.37,8.14,8.15
3262.67,8.23,8.23
3295.3,8.27,8.28
3328.25,8.32,8.3
3361.53,8.29,8.3
3395.15,8.26,8.26
3429.1,8.2,8.2
3463.39,8.12,8.13
3498.03,8.03,8.03
3533.01,7.92,7.92
3568.34,7.78,7.78
3604.02,7.62,7.62
3640.06,7.43,7.43
3676.46,7.2,7.21
3713.22,6.93,6.93
3750.36,6.6,6.6
3787.86,6.17,6.17
3825.74,5.65,5.64
3864.0,4.98,4.97
3902.64,4.19,4.18
3941.66,3.28,3.28
3981.08,2.33,2.31
4020.89,1.34,1.35
4061.1,0.43,0.45
4101.71,-0.33,-0.33
4142.73,-0.93,-0.93
4184.15,-1.31,-1.31
4226.0,-1.49,-1.42
4268.26,-1.3,-1.31
4310.94,-0.99,-1.02
4354.05,-0.63,-0.61
4397.59,-0.16,-0.18
4441.56,0.26,0.26
4485.98,0.69,0.69
4530.84,1.05,1.05
4576.15,1.36,1.35
4621.91,1.59,1.6
4668.13,1.79,1.8
4714.81,1.96,1.95
4761.96,2.04,2.04
4809.58,2.08,2.09
4857.67,2.08,2.08
4906.25,2.05,2.04
4955.31,1.97,1.98
5004.87,1.88,1.88
5054.91,1.77,1.77
5105.46,1.64,1.64
5156.52,1.51,1.51
5208.08,1.38,1.38
5260.16,1.26,1.26
5312.77,1.16,1.16
5365.89,1.07,1.08
5419.55,1.02,1.01
5473.75,0.97,0.98
5528.49,0.98,0.99
5583.77,1.03,1.03
5639.61,1.1,1.1
5696.0,1.19,1.21
5752.96,1.33,1.35
5810.49,1.52,1.51
5868.6,1.68,1.7
5927.28,1.88,1.9
5986.56,2.1,2.11
6046.42,2.34,2.34
6106.89,2.57,2.56
6167.96,2.8,2.78
6229.64,3.04,2.99
6291.93,3.25,3.19
6354.85,3.5,3.37
6418.4,3.74,3.52
6482.58,3.95,3.65
6547.41,4.17,3.74
6612.88,4.41,3.79
6679.01,4.63,3.79
6745.8,4.87,3.74
6813.26,5.09,3.62
6881.39,5.31,3.45
6950.21,5.5,3.22
7019.71,5.68,2.95
7089.91,5.8,2.65
7160.81,5.9,2.34
7232.41,5.82,2.02
7304.74,5.68,1.72
7377.79,5.47,1.45
7451.56,5.14,1.22
7526.08,4.76,1.03
7601.34,4.38,0.87
7677.35,3.95,0.73
7754.13,3.58,0.61
7831.67,3.28,0.49
7909.98,3.06,0.37
7989.08,2.89,0.23
8068.98,2.9,0.09
8149.67,2.96,-0.07
8231.16,3.07,-0.25
8313.47,3.18,-0.43
8396.61,3.05,-0.63
8480.57,2.74,-0.82
8565.38,2.19,-1.01
8651.03,1.33,-1.19
8737.54,0.22,-1.36
8824.92,-1.07,-1.52
8913.17,-2.45,-1.67
9002.3,-3.83,-1.82
9092.32,-5.07,-1.95
9183.25,-6.1,-2.09
9275.08,-6.89,-2.22
9367.83,-7.43,-2.35
9461.51,-7.74,-2.48
9556.12,-7.79,-2.61
9651.68,-7.74,-2.74
9748.2,-7.64,-2.87
9845.68,-7.58,-2.99
9944.14,-7.55,-3.12
10043.58,-7.65,-3.25
10144.02,-7.75,-3.35
10245.46,-7.92,-3.46
10347.91,-8.06,-3.56
10451.39,-8.21,-3.66
10555.91,-8.32,-3.76
10661.46,-8.34,-3.86
10768.08,-8.27,-3.96
10875.76,-8.13,-4.06
10984.52,-7.96,-4.16
11094.36,-7.78,-4.26
11205.31,-7.6,-4.35
11317.36,-7.42,-4.45
11430.53,-7.25,-4.55
11544.84,-7.15,-4.64
11660.29,-7.02,-4.74
11776.89,-6.91,-4.83
11894.66,-6.76,-4.93
12013.6,-6.56,-5.02
12133.74,-6.33,-5.11
12255.08,-6.06,-5.21
12377.63,-5.76,-5.3
12501.41,-5.45,-5.39
12626.42,-5.17,-5.48
12752.68,-4.91,-5.57
12880.21,-4.69,-5.67
13009.01,-4.55,-5.75
13139.1,-4.5,-5.84
13270.49,-4.61,-5.93
13403.2,-4.76,-6.02
13537.23,-4.98,-6.11
13672.6,-5.24,-6.2
13809.33,-5.51,-6.28
13947.42,-5.8,-6.37
14086.9,-6.06,-6.46
14227.77,-6.35,-6.54
14370.04,-6.64,-6.63
14513.74,-7.0,-6.71
14658.88,-7.36,-6.79
14805.47,-7.73,-6.88
14953.52,-8.06,-6.96
15103.06,-8.3,-7.04
15254.09,-8.43,-7.12
15406.63,-8.24,-7.2
15560.7,-7.88,-7.28
15716.3,-7.34,-7.36
15873.47,-6.65,-7.44
16032.2,-5.92,-7.52
16192.52,-5.27,-7.6
16354.45,-4.71,-7.68
16517.99,-4.33,-7.76
16683.17,-4.23,-7.83
16850.01,-4.52,-7.91
17018.51,-4.94,-7.99
17188.69,-5.51,-8.06
17360.58,-6.14,-8.14
17534.18,-6.77,-8.21
17709.53,-7.34,-8.29
17886.62,-7.8,-8.36
18065.49,-8.13,-8.43
18246.14,-8.35,-8.5
18428.6,-8.52,-8.58
18612.89,-8.61,-8.65
18799.02,-8.77,-8.72
18987.01,-8.95,-8.79
19176.88,-9.19,-8.86
19368.65,-9.4,-8.93
19562.33,-9.63,-9.0
19757.96,-9.82,-9.06
19955.54,-9.95,-9.13
