frequency,raw,smoothed
191.42,-3.14,-3.14
193.33,-3.15,-3.15
195.27,-3.16,-3.15
197.22,-3.15,-3.15
199.19,-3.15,-3.15
201.18,-3.16,-3.15
203.19,-3.16,-3.15
205.23,-3.16,-3.16
207.28,-3.16,-3.16
209.35,-3.17,-3.16
211.44,-3.17,-3.16
213.56,-3.16,-3.16
215.69,-3.16,-3.16
217.85,-3.16,-3.16
220.03,-3.17,-3.15
222.23,-3.14,-3.14
224.45,-3.13,-3.14
226.7,-3.14,-3.13
228.96,-3.14,-3.14
231.25,-3.14,-3.14
233.57,-3.14,-3.13
235.9,-3.12,-3.11
238.26,-3.09,-3.09
240.64,-3.07,-3.07
243.05,-3.06,-3.05
245.48,-3.05,-3.05
247.93,-3.05,-3.05
250.41,-3.05,-3.04
252.92,-3.03,-3.03
255.45,-3.01,-3.01
258.0,-3.01,-3.0
260.58,-3.0,-3.0
263.19,-3.0,-2.99
265.82,-2.99,-2.99
268.48,-2.98,-2.98
271.16,-2.99,-2.98
273.87,-2.99,-2.99
276.61,-2.99,-2.99
279.38,-2.98,-2.98
282.17,-2.97,-2.96
284.99,-2.95,-2.95
287.84,-2.94,-2.94
290.72,-2.94,-2.93
293.63,-2.92,-2.92
296.57,-2.91,-2.9
299.53,-2.89,-2.89
302.53,-2.87,-2.87
305.55,-2.86,-2.85
308.61,-2.84,-2.84
311.69,-2.82,-2.82
314.81,-2.81,-2.81
317.96,-2.8,-2.79
321.14,-2.79,-2.78
324.35,-2.77,-2.78
327.59,-2.78,-2.77
330.87,-2.77,-2.76
334.18,-2.76,-2.76
337.52,-2.74,-2.74
340.9,-2.73,-2.72
344.3,-2.71,-2.71
347.75,-2.7,-2.7
351.23,-2.69,-2.68
354.74,-2.68,-2.67
358.28,-2.66,-2.66
361.87,-2.65,-2.64
365.49,-2.63,-2.62
369.14,-2.59,-2.59
372.83,-2.56,-2.56
376.56,-2.54,-2.53
380.33,-2.52,-2.51
384.13,-2.49,-2.49
387.97,-2.47,-2.47
391.85,-2.45,-2.44
395.77,-2.43,-2.43
399.73,-2.41,-2.41
403.72,-2.4,-2.4
407.76,-2.39,-2.38
411.84,-2.37,-2.37
415.96,-2.35,-2.34
420.12,-2.32,-2.32
424.32,-2.31,-2.3
428.56,-2.29,-2.29
432.85,-2.27,-2.27
437.18,-2.26,-2.25
441.55,-2.24,-2.24
445.96,-2.23,-2.22
450.42,-2.21,-2.2
454.93,-2.19,-2.19
459.48,-2.17,-2.17
464.07,-2.16,-2.16
468.71,-2.15,-2.15
473.4,-2.15,-2.14
478.13,-2.14,-2.13
482.91,-2.13,-2.13
487.74,-2.11,-2.11
492.62,-2.11,-2.1
497.55,-2.09,-2.08
502.52,-2.07,-2.07
507.55,-2.06,-2.05
512.62,-2.05,-2.04
517.75,-2.04,-2.04
522.93,-2.05,-2.05
528.16,-2.09,-2.09
533.44,-2.13,-2.13
538.77,-2.17,-2.16
544.16,-2.18,-2.17
549.6,-2.15,-2.15
555.1,-2.11,-2.11
560.65,-2.07,-2.07
566.25,-2.03,-2.03
571.92,-1.99,-1.99
577.64,-1.97,-1.96
583.41,-1.95,-1.94
589.25,-1.93,-1.93
595.14,-1.92,-1.92
601.09,-1.91,-1.91
607.1,-1.91,-1.9
613.17,-1.91,-1.91
619.3,-1.92,-1.92
625.5,-1.94,-1.94
631.75,-1.98,-1.98
638.07,-2.04,-2.03
644.45,-2.12,-2.12
650.89,-2.22,-2.23
657.4,-2.37,-2.36
663.98,-2.5,-2.49
670.62,-2.6,-2.59
677.32,-2.65,-2.65
684.1,-2.66,-2.66
690.94,-2.64,-2.63
697.85,-2.58,-2.57
704.83,-2.49,-2.49
711.87,-2.39,-2.39
718.99,-2.29,-2.29
726.18,-2.21,-2.21
733.44,-2.14,-2.14
740.78,-2.09,-2.08
748.19,-2.02,-2.02
755.67,-1.96,-1.96
763.23,-1.9,-1.9
770.86,-1.85,-1.85
778.57,-1.8,-1.8
786.35,-1.75,-1.74
794.22,-1.7,-1.69
802.16,-1.64,-1.64
810.18,-1.6,-1.6
818.28,-1.56,-1.56
826.46,-1.52,-1.52
834.73,-1.48,-1.47
843.08,-1.43,-1.43
851.51,-1.38,-1.38
860.02,-1.33,-1.33
868.62,-1.28,-1.27
877.31,-1.22,-1.22
886.08,-1.16,-1.16
894.94,-1.09,-1.09
903.89,-1.02,-1.01
912.93,-0.94,-0.93
922.06,-0.85,-0.85
931.28,-0.76,-0.75
940.59,-0.67,-0.66
950.0,-0.57,-0.58
959.5,-0.5,-0.49
969.09,-0.41,-0.4
978.78,-0.3,-0.3
988.57,-0.19,-0.17
998.46,-0.03,-0.03
1008.44,0.14,0.14
1018.53,0.31,0.31
1028.71,0.48,0.49
1039.0,0.67,0.67
1049.39,0.85,0.86
1059.88,1.03,1.03
1070.48,1.2,1.19
1081.19,1.34,1.34
1092.0,1.47,1.48
1102.92,1.62,1.64
1113.95,1.81,1.82
1125.09,1.99,1.98
1136.34,2.14,2.11
1147.7,2.19,2.22
1159.18,2.3,2.32
1170.77,2.44,2.43
1182.48,2.57,2.56
1194.3,2.67,2.69
1206.25,2.78,2.79
1218.31,2.89,2.87
1230.49,2.92,2.92
1242.8,2.93,2.94
1255.22,2.92,2.93
1267.78,2.93,2.92
1280.45,2.91,2.93
1293.26,2.93,2.94
1306.19,2.95,2.95
1319.25,2.96,2.95
1332.45,2.9,2.89
1345.77,2.82,2.83
1359.23,2.72,2.76
1372.82,2.71,2.69
1386.55,2.64,2.62
1400.41,2.51,2.55
1414.42,2.48,2.48
1428.56,2.45,2.45
1442.85,2.46,2.49
1457.28,2.5,2.51
1471.85,2.55,2.47
1486.57,2.42,2.42
1501.43,2.27,2.39
1516.45,2.4,2.36
1531.61,2.42,2.36
1546.93,2.3,2.36
1562.4,2.28,2.29
1578.02,2.26,2.22
1593.8,2.12,2.15
1609.74,2.03,2.05
1625.84,1.95,1.92
1642.1,1.8,1.81
1658.52,1.67,1.7
1675.1,1.58,1.61
1691.85,1.53,1.47
1708.77,1.36,1.32
1725.86,1.1,1.18
1743.12,1.09,1.15
1760.55,1.21,1.21
1778.15,1.35,1.27
1795.94,1.28,1.25
1813.9,1.15,1.21
1832.03,1.12,1.18
1850.36,1.28,1.23
1868.86,1.33,1.35
1887.55,1.44,1.44
1906.42,1.52,1.47
1925.49,1.5,1.52
1944.74,1.52,1.59
1964.19,1.69,1.65
1983.83,1.79,1.75
2003.67,1.76,1.84
2023.71,1.93,1.89
2043.94,1.97,1.95
2064.38,1.98,2.01
2085.03,2.07,2.06
2105.88,2.15,2.21
2126.94,2.36,2.4
2148.2,2.66,2.55
2169.69,2.67,2.65
2191.38,2.62,2.69
2213.3,2.7,2.74
2235.43,2.89,2.84
2257.78,3.0,2.97
2280.36,3.11,3.16
2303.17,3.31,3.41
2326.2,3.79,3.7
2349.46,4.0,3.97
2372.95,4.13,4.16
2396.68,4.25,4.26
2420.65,4.37,4.39
2444.86,4.52,4.53
2469.31,4.69,4.66
2494.0,4.75,4.77
2518.94,4.85,4.87
2544.13,4.95,4.95
2569.57,5.04,5.0
2595.27,5.05,5.07
2621.22,5.03,5.11
2647.43,5.2,5.11
2673.9,5.08,5.1
2700.64,5.02,5.07
2727.65,5.03,5.0
2754.93,4.95,4.97
2782.48,4.92,4.92
2810.3,4.86,4.83
2838.4,4.72,4.74
2866.79,4.61,4.63
2895.46,4.53,4.53
2924.41,4.47,4.47
2953.65,4.42,4.42
2983.19,4.39,4.41
3013.02,4.41,4.43
3043.15,4.5,4.47
3073.58,4.49,4.5
3104.32,4.52,4.51
3135.36,4.49,4.49
3166.72,4.48,4.5
3198.38,4.51,4.54
3230.37,4.6,4.58
3262.67,4.62,4.59
3295.3,4.52,4.55
3328.25,4.45,4.47
3361.53,4.36,4.35
3395.15,4.24,4.21
3429.1,4.01,4.04
3463.39,3.83,3.87
3498.03,3.73,3.71
3533.01,3.6,3.59
3568.34,3.47,3.48
3604.02,3.36,3.37
3640.06,3.28,3.29
3676.46,3.25,3.25
3713.22,3.26,3.25
3750.36,3.29,3.32
3787.86,3.45,3.44
3825.74,3.63,3.64
3864.0,3.91,3.94
3902.64,4.31,4.31
3941.66,4.72,4.71
3981.08,5.11,5.12
4020.89,5.46,5.47
4061.1,5.78,5.76
4101.71,5.98,5.99
4142.73,6.11,6.12
4184.15,6.17,6.17
4226.0,6.13,6.14
4268.26,6.04,6.04
4310.94,5.87,5.86
4354.05,5.63,5.64
4397.59,5.36,5.38
4441.56,5.09,5.1
4485.98,4.82,4.81
4530.84,4.51,4.52
4576.15,4.21,4.22
4621.91,3.92,3.92
4668.13,3.64,3.66
4714.81,3.4,3.4
4761.96,3.16,3.15
4809.58,2.89,2.91
4857.67,2.67,2.68
4906.25,2.47,2.46
4955.31,2.26,2.26
5004.87,2.05,2.06
5054.91,1.86,1.86
5105.46,1.66,1.66
5156.52,1.46,1.48
5208.08,1.3,1.3
5260.16,1.13,1.13
5312.77,0.98,0.98
5365.89,0.83,0.84
5419.55,0.72,0.72
5473.75,0.63,0.64
5528.49,0.6,0.63
5583.77,0.66,0.67
5639.61,0.78,0.78
5696.0,0.91,0.94
5752.96,1.13,1.14
5810.49,1.36,1.37
5868.6,1.64,1.65
5927.28,1.93,1.95
5986.56,2.26,2.26
6046.42,2.57,2.57
6106.89,2.88,2.87
6167.96,3.17,3.13
6229.64,3.4,3.32
6291.93,3.52,3.4
6354.85,3.49,3.35
6418.4,3.39,3.19
6482.58,3.15,2.97
6547.41,2.94,2.74
6612.88,2.76,2.54
6679.01,2.68,2.39
6745.8,2.58,2.23
6813.26,2.44,2.02
6881.39,2.21,1.76
6950.21,1.88,1.46
7019.71,1.54,1.15
7089.91,1.26,0.86
7160.81,1.17,0.59
7232.41,1.2,0.32
7304.74,1.34,0.05
7377.79,1.58,-0.23
7451.56,1.79,-0.53
7526.08,1.94,-0.84
7601.34,2.01,-1.15
7677.35,2.04,-1.45
7754.13,2.07,-1.74
7831.67,2.17,-2.02
7909.98,2.31,-2.3
7989.08,2.49,-2.57
8068.98,2.75,-2.85
8149.67,3.01,-3.11
8231.16,3.24,-3.37
8313.47,3.29,-3.62
8396.61,3.1,-3.84
8480.57,2.21,-4.04
8565.38,0.46,-4.23
8651.03,-1.93,-4.42
8737.54,-5.01,-4.6
8824.92,-8.76,-4.77
8913.17,-13.4,-4.93
9002.3,-18.23,-5.08
9092.32,-18.69,-5.23
9183.25,-16.16,-5.39
9275.08,-12.72,-5.54
9367.83,-10.38,-5.7
9461.51,-8.56,-5.86
9556.12,-7.06,-6.0
9651.68,-5.91,-6.14
9748.2,-5.11,-6.27
9845.68,-5.15,-6.39
9944.14,-5.42,-6.5
10043.58,-5.88,-6.61
10144.02,-6.41,-6.72
10245.46,-7.0,-6.82
10347.91,-7.42,-6.93
10451.39,-7.62,-7.03
10555.91,-7.64,-7.13
10661.46,-7.6,-7.23
10768.08,-7.46,-7.33
10875.76,-7.12,-7.43
10984.52,-6.72,-7.52
11094.36,-6.32,-7.61
11205.31,-6.0,-7.7
11317.36,-5.76,-7.78
11430.53,-5.54,-7.87
11544.84,-5.53,-7.95
11660.29,-5.78,-8.03
11776.89,-6.39,-8.11
11894.66,-8.31,-8.18
12013.6,-10.46,-8.26
12133.74,-12.6,-8.33
12255.08,-14.02,-8.4
12377.63,-14.58,-8.47
12501.41,-15.28,-8.53
12626.42,-16.72,-8.59
12752.68,-18.48,-8.66
12880.21,-19.99,-8.71
13009.01,-21.29,-8.77
13139.1,-22.59,-8.83
